cluster	rank	gene	score	logfoldchange	pval	pval_adj
13	19	TKT	25.570510864257812	3.595309257507324	3.247827772186366e-144	4.645419344049299e-141
13	20	LST1	25.514362335205078	4.122344493865967	1.3658566346679664e-143	1.8559259951868327e-140
14	1	RPL32	26.772096633911133	1.3921220302581787	6.830092702381721e-158	1.8561459927992564e-153
14	2	RPS12	26.386287689208984	1.3852119445800781	1.9686403393121732e-153	2.674988493057381e-149
14	3	RPS21	25.84177017211914	1.2789138555526733	3.010799260169748e-147	2.727382689812436e-143
14	4	RPL34	25.759645462036133	1.288335919380188	2.513455163693583e-146	1.70764143821342e-142
14	5	CD8B	25.539113998413086	4.301563739776611	7.25411136687461e-144	3.9427546101236877e-140
14	6	RPL37	25.431774139404297	1.24423086643219	1.1232169737973234e-142	5.08742407998601e-139
14	7	EEF1A1	25.373689651489258	1.2870484590530396	4.9231781544510104e-142	1.9113184217908667e-138
14	8	RPS5	25.058490753173828	1.4608399868011475	1.4108559121949542e-138	4.7926775337262593e-135
14	9	RPL19	24.90235710144043	1.111820936203003	7.015459365297814e-137	2.1183569301259268e-133
14	10	RPS23	24.876998901367188	1.1812758445739746	1.32008218452319e-136	3.587455344660221e-133
14	11	RPL13	24.860858917236328	1.1874327659606934	1.9732911189901473e-136	4.875105404516022e-133
14	12	RPS13	24.728090286254883	1.2745243310928345	5.335512029210299e-135	1.208315624215159e-131
14	13	RPS14	24.620512008666992	1.1875030994415283	7.618460344225586e-134	1.592609833189804e-130
14	14	RPS8	24.4948673248291	1.228723406791687	1.675400283534505e-132	3.252191293238122e-129
14	15	RPL30	24.478357315063477	1.1753687858581543	2.5118133381865825e-132	4.32183051375761e-129
14	16	RPS6	24.476354598999023	1.4175372123718262	2.6382729673903084e-132	4.32183051375761e-129
14	17	RPS28	24.475357055664062	1.002562165260315	2.7035295383382162e-132	4.32183051375761e-129
14	18	EEF1B2	24.312095642089844	1.6631783246994019	1.4602817583854229e-130	2.2047009481045694e-127
14	19	RPL21	23.86783790588379	1.3293191194534302	6.611487849963717e-126	9.456515463716525e-123
14	20	RPL35A	23.850479125976562	1.1774928569793701	1.0011308656856105e-125	1.3603366202936073e-122
15	1	ACTG1	17.508934020996094	1.4119044542312622	1.2246787238812505e-68	1.664093450009843e-64
15	2	GAPDH	17.223630905151367	1.4289989471435547	1.7655686749490026e-66	1.5993698103471366e-62
15	3	ACTB	15.841919898986816	1.155734896659851	1.5986539375572482e-56	1.0861254851763944e-52
15	4	PPIA	15.64748764038086	1.0286999940872192	3.4559802924828646e-55	1.8783944085702863e-51
15	5	PTMA	15.20462703704834	0.830333948135376	3.2950268381527425e-52	1.4924274892273156e-48
15	6	TUBB	14.733701705932617	2.496680498123169	3.916523625784501e-49	1.5205063722045656e-45
15	7	CFL1	14.257525444030762	0.8562884330749512	4.0247529747794686e-46	1.3672085855325854e-42
15	8	HMGB1	14.182950019836426	1.4130727052688599	1.1683021898368588e-45	3.527753367889608e-42
15	9	PFN1	14.164464950561523	1.0170198678970337	1.5201953982105095e-45	4.13128301417688e-42
15	10	STMN1	13.720504760742188	4.096609592437744	7.65310481058185e-43	1.8907343302942942e-39
15	11	MKI67	13.629863739013672	6.008945941925049	2.6607828934469657e-42	6.025786326026228e-39
15	12	RAC2	13.319786071777344	1.2830898761749268	1.7761547035199854e-40	3.7129830940660863e-37
